# Region type : patch outlet
# Faces         : 20
# Area          : 4.36243709e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(p)	weightedAverage(U)	weightedAverage(T)
100             	1.01325000e+05	(1.00392723e+00 5.18243820e-07 -1.84489561e-14)	3.06610762e+02
200             	1.01325000e+05	(1.01228814e+00 1.00076192e-06 2.97210495e-13)	3.13310161e+02
300             	1.01325000e+05	(1.02863897e+00 -2.45909252e-06 9.60104849e-13)	3.22008530e+02
400             	1.01325000e+05	(1.03642316e+00 -5.47325965e-06 1.44903692e-12)	3.31192820e+02
500             	1.01325000e+05	(1.03732200e+00 -4.99455452e-06 1.82120843e-12)	3.39505490e+02
600             	1.01325000e+05	(1.03929411e+00 -4.30119196e-06 2.04394231e-12)	3.46722125e+02
700             	1.01325000e+05	(1.04140720e+00 -3.91353335e-06 2.19332298e-12)	3.53084671e+02
800             	1.01325000e+05	(1.04313814e+00 -3.51825563e-06 2.20749152e-12)	3.58695699e+02
900             	1.01325000e+05	(1.04470000e+00 -3.16050484e-06 2.14603078e-12)	3.63635345e+02
1000            	1.01325000e+05	(1.04611269e+00 -2.82999365e-06 2.15082251e-12)	3.67984471e+02
1100            	1.01325000e+05	(1.04737240e+00 -2.52928166e-06 2.19164841e-12)	3.71813603e+02
1200            	1.01325000e+05	(1.04849637e+00 -2.25908771e-06 2.26405248e-12)	3.75184596e+02
1300            	1.01325000e+05	(1.04949833e+00 -2.01280761e-06 2.27472285e-12)	3.78152189e+02
1400            	1.01325000e+05	(1.05038991e+00 -1.79428266e-06 2.26869701e-12)	3.80764646e+02
1500            	1.01325000e+05	(1.05118238e+00 -1.59526865e-06 2.27207406e-12)	3.83064465e+02
1600            	1.01325000e+05	(1.05188595e+00 -1.41244798e-06 2.27149581e-12)	3.85089080e+02
1700            	1.01325000e+05	(1.05251001e+00 -1.25110197e-06 2.30025202e-12)	3.86871454e+02
1800            	1.01325000e+05	(1.05306314e+00 -1.11157963e-06 2.26776941e-12)	3.88440598e+02
1900            	1.01325000e+05	(1.05355294e+00 -9.87401059e-07 2.27348733e-12)	3.89822050e+02
2000            	1.01325000e+05	(1.05398644e+00 -8.73086623e-07 2.25456616e-12)	3.91038284e+02
2100            	1.01325000e+05	(1.05436983e+00 -7.76893403e-07 2.27409939e-12)	3.92109082e+02
2200            	1.01325000e+05	(1.05470884e+00 -6.87097210e-07 2.30427580e-12)	3.93051854e+02
2300            	1.01325000e+05	(1.05500836e+00 -6.08068417e-07 2.26202805e-12)	3.93881922e+02
2400            	1.01325000e+05	(1.05527287e+00 -5.34515447e-07 2.25602007e-12)	3.94612774e+02
2500            	1.01325000e+05	(1.05550648e+00 -4.71732130e-07 2.24731799e-12)	3.95256279e+02
2600            	1.01325000e+05	(1.05571240e+00 -4.22264771e-07 2.25502443e-12)	3.95822884e+02
2700            	1.01325000e+05	(1.05589382e+00 -3.65800779e-07 2.27034338e-12)	3.96321784e+02
2800            	1.01325000e+05	(1.05605440e+00 -3.19326850e-07 2.23826508e-12)	3.96761076e+02
2900            	1.01325000e+05	(1.05619616e+00 -2.87354784e-07 2.27153945e-12)	3.97147886e+02
3000            	1.01325000e+05	(1.05632098e+00 -3.18412897e-07 2.25847808e-12)	3.97488403e+02
3100            	1.01325000e+05	(1.05643116e+00 -2.18676965e-07 2.28190431e-12)	3.97788331e+02
