# Region type : patch outlet
# Faces         : 94
# Area          : 7.53543276e-05
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(p)	weightedAverage(U)	weightedAverage(T)
100             	1.01325000e+05	(1.01708810e+00 -3.40361806e-04 1.65515053e-04)	3.12758212e+02
200             	1.01325000e+05	(1.02326141e+00 -4.04279401e-04 1.63346029e-04)	3.19717069e+02
300             	1.01325000e+05	(1.02320349e+00 -4.06984612e-04 1.61329073e-04)	3.25427996e+02
400             	1.01325000e+05	(1.02319712e+00 -4.07029284e-04 1.61453159e-04)	3.30708951e+02
500             	1.01325000e+05	(1.02319702e+00 -4.07053152e-04 1.61507127e-04)	3.35589448e+02
600             	1.01325000e+05	(1.02319690e+00 -4.07043136e-04 1.61547807e-04)	3.40182096e+02
700             	1.01325000e+05	(1.02319705e+00 -4.07062967e-04 1.61536431e-04)	3.44328926e+02
800             	1.01325000e+05	(1.02319700e+00 -4.07060528e-04 1.61539276e-04)	3.48261151e+02
900             	1.01325000e+05	(1.02319699e+00 -4.07040768e-04 1.61544294e-04)	3.51943483e+02
1000            	1.01325000e+05	(1.02319688e+00 -4.07055824e-04 1.61536313e-04)	3.55311366e+02
1100            	1.01325000e+05	(1.02319675e+00 -4.07070523e-04 1.61529494e-04)	3.58458096e+02
1200            	1.01325000e+05	(1.02319680e+00 -4.07057820e-04 1.61535283e-04)	3.61392012e+02
1300            	1.01325000e+05	(1.02319693e+00 -4.07038405e-04 1.61543970e-04)	3.64069211e+02
1400            	1.01325000e+05	(1.02319688e+00 -4.07057897e-04 1.61536331e-04)	3.66606679e+02
1500            	1.01325000e+05	(1.02319680e+00 -4.07065194e-04 1.61533368e-04)	3.68972771e+02
1600            	1.01325000e+05	(1.02319694e+00 -4.07057658e-04 1.61536462e-04)	3.71169629e+02
1700            	1.01325000e+05	(1.02319706e+00 -4.07052925e-04 1.61539551e-04)	3.73203783e+02
1800            	1.01325000e+05	(1.02319654e+00 -4.07058653e-04 1.61529307e-04)	3.75092540e+02
1900            	1.01325000e+05	(1.02319654e+00 -4.07065276e-04 1.61527635e-04)	3.76831363e+02
2000            	1.01325000e+05	(1.02319735e+00 -4.07038584e-04 1.61548834e-04)	3.78455782e+02
2100            	1.01325000e+05	(1.02319663e+00 -4.07062543e-04 1.61532961e-04)	3.79979767e+02
2200            	1.01325000e+05	(1.02319699e+00 -4.07071013e-04 1.61534234e-04)	3.81398489e+02
2300            	1.01325000e+05	(1.02319747e+00 -4.07030989e-04 1.61554450e-04)	3.82704101e+02
2400            	1.01325000e+05	(1.02319657e+00 -4.07071120e-04 1.61528626e-04)	3.83929812e+02
2500            	1.01325000e+05	(1.02319701e+00 -4.07058725e-04 1.61538143e-04)	3.85064601e+02
2600            	1.01325000e+05	(1.02319675e+00 -4.07051250e-04 1.61536725e-04)	3.86121428e+02
2700            	1.01325000e+05	(1.02319703e+00 -4.07057016e-04 1.61538968e-04)	3.87098361e+02
2800            	1.01325000e+05	(1.02319743e+00 -4.07021253e-04 1.61554565e-04)	3.88002187e+02
2900            	1.01325000e+05	(1.02319648e+00 -4.07091256e-04 1.61520637e-04)	3.88843815e+02
3000            	1.01325000e+05	(1.02319744e+00 -4.07033917e-04 1.61551042e-04)	3.89626037e+02
3100            	1.01325000e+05	(1.02319650e+00 -4.07093022e-04 1.61521348e-04)	3.90357479e+02
3200            	1.01325000e+05	(1.02319672e+00 -4.07036939e-04 1.61539070e-04)	3.91034751e+02
3300            	1.01325000e+05	(1.02319682e+00 -4.07056296e-04 1.61534535e-04)	3.91665494e+02
3400            	1.01325000e+05	(1.02319646e+00 -4.07094477e-04 1.61519375e-04)	3.92252593e+02
3500            	1.01325000e+05	(1.02319724e+00 -4.07041219e-04 1.61546368e-04)	3.92803522e+02
3600            	1.01325000e+05	(1.02319674e+00 -4.07044622e-04 1.61537297e-04)	3.93309478e+02
3700            	1.01325000e+05	(1.02319652e+00 -4.07109339e-04 1.61515634e-04)	3.93781425e+02
3800            	1.01325000e+05	(1.02319723e+00 -4.07058516e-04 1.61541470e-04)	3.94220385e+02
3900            	1.01325000e+05	(1.02319697e+00 -4.07054198e-04 1.61539059e-04)	3.94627140e+02
4000            	1.01325000e+05	(1.02319721e+00 -4.07050350e-04 1.61543762e-04)	3.95005314e+02
4100            	1.01325000e+05	(1.02319683e+00 -4.07073562e-04 1.61531503e-04)	3.95356508e+02
4200            	1.01325000e+05	(1.02319709e+00 -4.07043783e-04 1.61543078e-04)	3.95681426e+02
4300            	1.01325000e+05	(1.02319623e+00 -4.07069962e-04 1.61521898e-04)	3.95985321e+02
4400            	1.01325000e+05	(1.02319683e+00 -4.07141762e-04 1.61510161e-04)	3.96267798e+02
4500            	1.01325000e+05	(1.02319778e+00 -4.07013447e-04 1.61563424e-04)	3.96518286e+02
4600            	1.01325000e+05	(1.02319667e+00 -4.07046565e-04 1.61536875e-04)	3.96657634e+02
4700            	1.01325000e+05	(1.02319731e+00 -4.07073771e-04 1.61538860e-04)	3.96645358e+02
4800            	1.01325000e+05	(1.02319695e+00 -4.07033618e-04 1.61545284e-04)	3.96627001e+02
4900            	1.01325000e+05	(1.02319703e+00 -4.07066670e-04 1.61536145e-04)	3.96627001e+02
5000            	1.01325000e+05	(1.02319711e+00 -4.07052548e-04 1.61541650e-04)	3.96627000e+02
5100            	1.01325000e+05	(1.02319686e+00 -4.07051242e-04 1.61538236e-04)	3.96627001e+02
5200            	1.01325000e+05	(1.02319673e+00 -4.07065730e-04 1.61531691e-04)	3.96627001e+02
5300            	1.01325000e+05	(1.02319700e+00 -4.07064392e-04 1.61536000e-04)	3.96627001e+02
5400            	1.01325000e+05	(1.02319713e+00 -4.07054787e-04 1.61541518e-04)	3.96627000e+02
5500            	1.01325000e+05	(1.02319599e+00 -4.07045528e-04 1.61525985e-04)	3.96627001e+02
5600            	1.01325000e+05	(1.02319882e+00 -4.07165465e-04 1.61536730e-04)	3.96627000e+02
5700            	1.01325000e+05	(1.02319763e+00 -4.06615284e-04 1.61697569e-04)	3.96627000e+02
5800            	1.01325000e+05	(1.02318766e+00 -4.07568852e-04 1.61300813e-04)	3.96627005e+02
5812            	1.01325000e+05	(1.02320329e+00 -4.06439365e-04 1.61808526e-04)	3.96626997e+02
