# Region type : patch outlet
# Faces         : 20
# Area          : 4.36243709e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(p)	weightedAverage(U)	weightedAverage(T)
10100           	1.01325000e+05	(1.06097438e+00 4.03134401e-07 1.24413158e-12)	3.99982895e+02
10200           	1.01325000e+05	(1.06097167e+00 8.10330581e-07 1.24552652e-12)	3.99982926e+02
10300           	1.01325000e+05	(1.06097428e+00 1.51476217e-06 1.22899692e-12)	3.99982926e+02
10400           	1.01325000e+05	(1.06097950e+00 1.43122597e-06 1.23051717e-12)	3.99982926e+02
10500           	1.01325000e+05	(1.06098291e+00 4.35794335e-07 1.25156513e-12)	3.99982941e+02
10600           	1.01325000e+05	(1.06098117e+00 -4.00783472e-07 1.24934751e-12)	3.99982971e+02
10700           	1.01325000e+05	(1.06097816e+00 -6.03103626e-07 1.24886695e-12)	3.99982971e+02
10800           	1.01325000e+05	(1.06097585e+00 -2.24838282e-07 1.24936843e-12)	3.99982971e+02
10900           	1.01325000e+05	(1.06097670e+00 2.91832061e-07 1.25022858e-12)	3.99982971e+02
11000           	1.01325000e+05	(1.06097806e+00 -2.29408357e-08 1.24601252e-12)	3.99982971e+02
11100           	1.01325000e+05	(1.06097689e+00 -1.36915407e-07 1.25266813e-12)	3.99982971e+02
11200           	1.01325000e+05	(1.06097683e+00 9.05292491e-08 1.24236874e-12)	3.99982971e+02
11300           	1.01325000e+05	(1.06097739e+00 -3.83482662e-08 1.23630882e-12)	3.99982971e+02
11400           	1.01325000e+05	(1.06097710e+00 5.02583543e-08 1.24479795e-12)	3.99982971e+02
11500           	1.01325000e+05	(1.06097732e+00 2.80923285e-09 1.26030568e-12)	3.99982971e+02
11600           	1.01325000e+05	(1.06097741e+00 -1.54198929e-10 1.21786469e-12)	3.99982971e+02
11700           	1.01325000e+05	(1.06097725e+00 -2.05313185e-08 1.26183068e-12)	3.99982971e+02
11800           	1.01325000e+05	(1.06097725e+00 -1.12261395e-08 1.23836406e-12)	3.99982971e+02
11900           	1.01325000e+05	(1.06097715e+00 -1.34895507e-08 1.23132299e-12)	3.99982971e+02
12000           	1.01325000e+05	(1.06097731e+00 2.77796864e-08 1.22779279e-12)	3.99982971e+02
12100           	1.01325000e+05	(1.06097734e+00 -4.03681301e-08 1.24525910e-12)	3.99982971e+02
12200           	1.01325000e+05	(1.06097709e+00 2.98377535e-08 1.24562780e-12)	3.99982971e+02
12300           	1.01325000e+05	(1.06097744e+00 1.79717371e-08 1.25552725e-12)	3.99982971e+02
12400           	1.01325000e+05	(1.06097734e+00 -5.22857165e-08 1.24251191e-12)	3.99982971e+02
12500           	1.01325000e+05	(1.06097700e+00 2.14916442e-08 1.24805310e-12)	3.99982971e+02
12600           	1.01325000e+05	(1.06097749e+00 7.66364884e-08 1.22667752e-12)	3.99982971e+02
12700           	1.01325000e+05	(1.06097758e+00 -7.20522473e-09 1.23023440e-12)	3.99982971e+02
